"","channel","application_num","price_biling_num","price_biling_rate","predicted_price_biling_rate"
"1","jobshil_media",11,0,0,0.0241535869502773
"2","jobtalk_organic",178,6,0.0337078651685393,0.0247434402199105
"3","jobtalk_paid",58,1,0.0172413793103448,0.0241841139749058
"4","jstaff_ios",454,13,0.0286343612334802,0.0250087292375753
"5","jstaff_hellowork",114,3,0.0263157894736842,0.0245410722192251
"6","google_cpc",1583,39,0.0246367656348705,0.0243382718478507
"7","accesstrade_affiliate",2,0,0,0.0242596462589956
"8","google_android",1236,35,0.0283171521035599,0.0252709784474148
"9","indivision",1281,32,0.0249804839968774,0.0241446288688431
"10","yahoo_cpc",39,2,0.0512820512820513,0.0248256252822536
"11","jstaff",1416,35,0.0247175141242938,0.0241824943672928
"12","stanby_organic",258,2,0.00775193798449612,0.0226284889441939
"13","careerjet_cpc",137,0,0,0.0226453659975486
"14","apple_ios",121,3,0.0247933884297521,0.0241261379094571
"15","jstaff_android",82,3,0.0365853658536585,0.024702488212082
"16","google_ios",48,1,0.0208333333333333,0.0242233244755238
"17","indeed_organic",2546,49,0.0192458758837392,0.022489958575627
"18","indeed_cpc",948,28,0.029535864978903,0.0252215072135587
"19","stanby_cpc",1065,33,0.0309859154929577,0.0256642842104293
"20","autoline_cpc",107,0,0,0.0229128686360625
