"","channel","channel_type","is_ad","predicted_hire_rate","predicted_hire_price","predicted_application_charge_appliciant_price","predicted_member_price","member_price"
"1","jobshil_media","other",0,0.0429595934139953,370821,372,2645,0
"2","jobtalk_organic","jobtalk_organic",0,0.0349089097183773,320653,387,10547,8888
"3","jobtalk_paid","jobtalk_paid",0,0.0377762583445492,440456,472,149,37
"4","jstaff_ios","ios",0,0.058354177548245,426016,479,7281,9221
"5","jstaff_hellowork","other",0,0.0369225320318662,242987,514,191,235
"6","google_cpc","listing",1,0.0549975797946033,293107,279,3122,4316
"7","accesstrade_affiliate","affiliate",0,0.0428760103606871,382001,388,1014,0
"8","google_android","android",1,0.0435848471979843,348055,423,2480,2662
"9","indivision","affiliate",1,0.049905561607267,442057,463,849,751
"10","yahoo_cpc","listing",1,0.0402451145843021,437882,439,5427,2494
"11","jstaff","other",0,0.042585695152409,359841,357,6713,7855
"12","stanby_organic","vertical_organic",0,0.0388681929933822,396769,441,10212,8725
"13","careerjet_cpc","vertical",1,0.0436467690224581,385427,432,11546,13866
"14","apple_ios","ios",1,0.0489765805210888,333518,386,1210,1243
"15","jstaff_android","android",0,0.0456407667767429,456664,492,5948,3465
"16","google_ios","ios",1,0.0479391506151163,411464,495,1763,0
"17","indeed_organic","vertical_organic",0,0.0389544246780747,406062,426,14968,15883
"18","indeed_cpc","vertical",1,0.0427755325608497,335055,553,11908,15207
"19","stanby_cpc","vertical",1,0.0508779078116983,432306,469,12989,12925
"20","autoline_cpc","other",1,0.04204825667339,396214,348,1151,505
